X,Y,OBJECTID,COUNTY,DATE_STAMP,DESCRIPTION_BSL,DIRECTION_OP,DIST,DLAT_GIS,DLONG_GIS,MB_DIR,MUNICIPALITY,PLACE_NO,STOP_NUM,STOP_TYPE,STREET_DIR,ALL_LINES
583763.683369078,742598.15971224,14752,Passaic,2024/09/15 00:00:00+00,BROAD ST AT TREMONT PL,Ou,0,40.87162,-74.16869,,CLIFTON,,26677,FS,N,72
600075.061835494,586028.377051905,14753,Monmouth,2024/09/15 00:00:00+00,PORT MONMOUTH RD AT BRAY AVE#,In,0,40.4417,-74.11214,,MIDDLETOWN TWP,,25058,NS,E,817
583854.085747328,743408.541949742,14754,Passaic,2024/09/15 00:00:00+00,BROAD ST AT COLFAX AVE,Ou,0,40.87384,-74.16831,,CLIFTON,,26678,NS,N,72
600093.846574828,585060.315995902,14755,Monmouth,2024/09/15 00:00:00+00,BRAY AVE AT THORNE ST#,In,0,40.43899,-74.11205,,MIDDLETOWN TWP,,25059,NS,S,817
583871.424951494,746881.887693323,14756,Passaic,2024/09/15 00:00:00+00,BROAD ST AT LIVINGSTON ST,Ou,0,40.88337,-74.16822,,CLIFTON,,26679,FS,N,72
496096.410541244,637435.055078238,14757,Middlesex,2024/09/14 00:00:00+00,BOUNDBROOK RD AT CINDY CT,Ou,0,40.58336,-74.48567,,MIDDLESEX,,23351,FS,W,"114, 65"
583739.932760414,748447.984298654,14758,Passaic,2024/09/15 00:00:00+00,BROAD ST AT CONCORD ST,Ou,0,40.88767,-74.16868,,CLIFTON,,26680,FS,N,72
495102.966005828,637068.020379238,14759,Middlesex,2024/09/14 00:00:00+00,BOUNDBROOK RD AT N LINCOLN AVE,Ou,0,40.58239,-74.48927,,MIDDLESEX,,23352,FS,W,"114, 65"
583621.682996914,749207.790849902,14760,Passaic,2024/09/15 00:00:00+00,BROAD ST AT WARREN ST,Ou,0,40.88976,-74.16904,,CLIFTON,,26681,FS,N,72
494317.026632831,636793.887725405,14761,Middlesex,2024/09/14 00:00:00+00,BOUNDBROOK RD AT 2ND ST,Ou,0,40.58164,-74.4921,,MIDDLESEX,,23353,NS,W,"114, 65"
583764.715191163,749893.997154653,14762,Passaic,2024/09/15 00:00:00+00,BROAD ST AT FENNER AVE,Ou,0,40.89165,-74.16856,,CLIFTON,,26682,NS,N,72
493591.308267996,636585.554152571,14763,Middlesex,2024/09/14 00:00:00+00,BOUNDBROOK RD AT JOHN F. KENNEDY DR,Ou,0,40.58108,-74.49472,,MIDDLESEX,,23354,NS,W,"114, 65"
583929.633824579,751107.21093557,14764,Passaic,2024/09/15 00:00:00+00,BROAD ST AT HAZEL ST,In,0,40.89497,-74.16788,,CLIFTON,,26683,FS,S,72
491821.889234662,636306.302414492,14765,Middlesex,2024/09/14 00:00:00+00,BOUNDBROOK RD AT DAYTON AVE,Ou,0,40.5803,-74.50108,,MIDDLESEX,,23355,NS,W,"114, 65"
583718.04960208,750038.973898821,14766,Passaic,2024/09/15 00:00:00+00,BROAD ST AT FENNER AVE,In,0,40.89204,-74.16862,,CLIFTON,,26684,NS,S,72
491180.956461411,635999.02645424,14767,Middlesex,2024/09/14 00:00:00+00,BOUNDBROOK RD AT GARDEN PL,Ou,0,40.57946,-74.50339,,MIDDLESEX,,23356,NS,W,"114, 65"
583633.932972413,749653.880180821,14768,Passaic,2024/09/15 00:00:00+00,BROAD ST AT IVY CT,In,0,40.89097,-74.16893,,CLIFTON,,26685,NS,S,72
486680.24269383,631780.131676823,14769,Middlesex,2024/09/14 00:00:00+00,UNION AVE AT RARITAN AVE,In,0,40.56794,-74.51962,,MIDDLESEX,,23357,FS,E,"114, 65"
583689.006024994,748325.861839488,14770,Passaic,2024/09/15 00:00:00+00,BROAD ST AT CONCORD ST,In,0,40.88734,-74.16878,,CLIFTON,,26686,NS,S,72
488615.646631412,632830.041978575,14771,Middlesex,2024/09/14 00:00:00+00,UNION AVE AT HARRIS AVE,In,0,40.57078,-74.51264,,MIDDLESEX,,23358,NS,E,"114, 65"
583855.905953661,746369.228285573,14772,Passaic,2024/09/15 00:00:00+00,BROAD ST 150'N OF EDISON ST,In,150,40.88197,-74.16818,N,CLIFTON,,26687,MB,S,72
490404.687344663,635473.16562932,14773,Middlesex,2024/09/14 00:00:00+00,UNION AVE AT GREENBROOK RD,In,0,40.57806,-74.50623,,MIDDLESEX,,23359,FS,E,"114, 65"
621475.282486413,558000.558107652,14774,Monmouth,2024/09/15 00:00:00+00,RIVER RD AT FAIR HAVEN RD#,Ou,0,40.3644,-74.03576,,FAIR HAVEN,RIVRFHRD,24491,NS,W,838
490318.179971747,635473.775208153,14775,Middlesex,2024/09/14 00:00:00+00,UNION AVE AT GREENBROOK RD,Ou,0,40.57802,-74.50649,,MIDDLESEX,,23360,NS,W,"114, 65"
551460.678749494,521583.221165575,14776,Monmouth,2024/09/15 00:00:00+00,THROCKMORTON ST 2500' E of RT-9,Ou,2500,40.26522,-74.28735,E,FREEHOLD,,24494,MB,E,"139, 64, 67, 836, 838"
488622.573454827,632932.494201489,14777,Middlesex,2024/09/14 00:00:00+00,UNION AVE AT SHEPHERD AVE,Ou,0,40.57104,-74.51258,,MIDDLESEX,,23361,NS,W,"114, 65"
552307.204943579,521280.951100819,14778,Monmouth,2024/09/15 00:00:00+00,THROCKMORTON ST AT RHEA ST,Ou,0,40.26438,-74.28432,,FREEHOLD,,24495,NS,E,"139, 64, 67, 836, 838"
